path,times_optimized,avg_percent_optimized,avg_optimized_throughput_kb/s
GCP_US_SOUTH_1 -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,944,1.060887186013012,9.506978298512081
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> AZURE_US_EAST,937,9.9586411616457,105.33535194384717
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> AWS_SA_EAST_1_SAO_PAULO,929,17.056921359385296,87.85781121322407
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AWS_SA_EAST_1_SAO_PAULO,918,1.1394832931712524,5.045288038210629
AZURE_SOUTH_AFRICA_NORTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,916,4.0832296197885345,16.875258692066268
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AWS_EU_NORTH_1_STOCKHOLM,900,44.25850037747055,232.88220420107314
AZURE_BRAZIL_SOUTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,898,4.84601414026597,33.42345507650464
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> GCP_US_SOUTH_1,876,20.977928927842207,172.86514370006864
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1,866,26.07553478357765,182.8248113705788
AZURE_JAPAN_EAST -> AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO,860,9.741266332525603,75.20593454538323
AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> AWS_US_WEST_1_CALIFORNIA,859,1.6200401736803414,14.531176804428469
GCP_EUROPE_NORTH_1 -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,853,5.584317536480782,41.01881044039044
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO,807,16.992397592784258,155.68380448185258
AZURE_SOUTH_AFRICA_NORTH -> AZURE_US_EAST -> GCP_US_SOUTH_1,801,1.950603759252451,9.2566138932076
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,789,24.412015958737804,84.7019810714865
AZURE_BRAZIL_SOUTH -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,782,4.700722505481085,19.848897126964005
GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,762,0.8493054180730999,7.964283162065385
AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST -> GCP_ASIA_EAST_1,759,19.379413115421933,133.43787305025478
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_JAPAN_EAST,756,25.3715386371266,156.13239247115916
AZURE_SOUTH_AFRICA_NORTH -> AZURE_US_EAST -> AWS_US_WEST_1_CALIFORNIA,754,1.803336551351074,7.737762639160167
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,752,5.033958303541732,21.366608316246584
AZURE_JAPAN_EAST -> GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1,748,1.1004997741184384,9.635281036159995
GCP_AUSTRALIA_SOUTHEAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_NORTH_1_STOCKHOLM,729,0.4758554420950877,2.184317177536343
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,690,30.63266129404169,97.22212292894841
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,668,26.92993816259165,174.17673435475626
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> GCP_EUROPE_NORTH_1,664,24.704062019316474,147.34769280157877
AWS_US_WEST_1_CALIFORNIA -> GCP_US_SOUTH_1 -> AWS_SA_EAST_1_SAO_PAULO,661,20.100194860726198,118.32660489544321
