path,times_optimized,avg_percent_optimized,avg_optimized_latency_ms,number_hops
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AWS_SA_EAST_1_SAO_PAULO,26038,2.3004551850387966,0.46464824772033675,1
GCP_US_CENTRAL_1 -> GCP_US_SOUTH_1 -> AZURE_JAPAN_EAST,25016,1.2128041790114064,0.18299731080345938,1
AZURE_JAPAN_EAST -> GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1,24890,1.185252175489837,0.1791199558138723,1
AZURE_US_EAST -> GCP_US_CENTRAL_1 -> GCP_AUSTRALIA_SOUTHEAST_1,20538,0.4289716834391055,0.08650046737874728,1
GCP_AUSTRALIA_SOUTHEAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_NORTH_1_STOCKHOLM,19561,0.3153376871814495,0.0919354864014621,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_US_EAST -> GCP_US_CENTRAL_1,19064,0.4244786995612482,0.059775922068941445,1
AZURE_JAPAN_EAST -> AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_BRAZIL_SOUTH,18915,2.6481843903282343,0.7389129240114922,2
AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT -> GCP_EUROPE_NORTH_1,18800,3.526391705170928,0.15009381826443374,1
GCP_ASIA_EAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT -> GCP_EUROPE_NORTH_1,18799,5.937178309823976,1.634014180762322,2
GCP_EUROPE_NORTH_1 -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL,18642,3.7759299492664766,0.16079825450287036,1
GCP_EUROPE_NORTH_1 -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_ASIA_EAST_1,18639,5.820308789371198,1.6010463679672071,2
AZURE_BRAZIL_SOUTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,18303,2.665104064434898,0.743559602548105,2
GCP_AUSTRALIA_SOUTHEAST_1 -> GCP_US_CENTRAL_1 -> AZURE_US_EAST,17745,0.44394183011563504,0.08947835767519619,1
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> GCP_AUSTRALIA_SOUTHEAST_1,17082,0.30539835470085874,0.08913295033430302,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_US_EAST -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,16633,1.3067083676691738,0.39335192349543857,2
AZURE_SOUTH_AFRICA_NORTH -> AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO,16320,0.9260345320579288,0.3258205434672312,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AZURE_SOUTH_AFRICA_NORTH,16272,0.9436147899573144,0.33204954380300356,1
GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AWS_SA_EAST_1_SAO_PAULO,15967,0.4985659587834701,0.07020506444923857,1
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AWS_SA_EAST_1_SAO_PAULO,13431,1.2603905978256114,0.3790067718815626,2
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,13302,0.8165407072670883,0.12303848262394113,2
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_CENTRAL_1_FRANKFURT,12970,0.7390697666151413,0.11126385332917432,2
AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM,12581,2.869201250234743,0.09569767468450979,1
GCP_ASIA_EAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM,12581,7.921635725669251,2.149327613715352,2
AZURE_JAPAN_EAST -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM,12574,5.764079712842363,1.4941103902959607,2
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL,11810,3.1362804852091197,0.10458933503063664,1
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_ASIA_EAST_1,11809,7.812504482670479,2.119631464642829,2
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_JAPAN_EAST,11806,5.7006324269321285,1.4761879364283803,2
AZURE_SOUTH_AFRICA_NORTH -> AZURE_US_EAST -> GCP_US_SOUTH_1,11761,0.2797617591324908,0.07864147772926322,1
AWS_US_EAST_2_OHIO -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,11455,1.6622082037692776,0.3100771203517094,1
AWS_US_EAST_2_OHIO -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,11081,0.5702001899121067,0.057802218978837694,1
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AZURE_BRAZIL_SOUTH,10897,4.52286105850005,1.4154151490228362,1
AZURE_JAPAN_EAST -> AZURE_US_EAST -> AWS_SA_EAST_1_SAO_PAULO,10761,5.909902054491911,1.7114173218696294,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_US_EAST -> AZURE_JAPAN_EAST,10759,5.786583427205949,1.6740876647937886,1
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AWS_US_EAST_2_OHIO,10604,1.58891384383536,0.29597077246120707,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO,10162,0.41938701672451506,0.04245466814530863,1
GCP_US_SOUTH_1 -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,9155,0.27243111068875336,0.07653040055979887,1
AWS_SA_EAST_1_SAO_PAULO -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,9007,4.533624329461706,1.276019336900458,1
AZURE_BRAZIL_SOUTH -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,8894,4.519681674641729,1.415589040265447,1
AZURE_JAPAN_EAST -> AWS_US_WEST_2_OREGON -> AWS_SA_EAST_1_SAO_PAULO,8639,4.44479685253879,1.2500919656047826,1
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AWS_EU_NORTH_1_STOCKHOLM,7659,2.8721949501985478,0.4963973873372579,1
AWS_EU_NORTH_1_STOCKHOLM -> GCP_US_CENTRAL_1 -> AWS_US_WEST_1_CALIFORNIA,7430,2.837993549344908,0.48994176533948275,1
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> AWS_US_EAST_2_OHIO,4776,1.206903793495162,0.15464023749581224,1
GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1 -> AZURE_SOUTH_AFRICA_NORTH,4538,1.6302072225074404,0.4578845939458176,1
AZURE_SOUTH_AFRICA_NORTH -> GCP_US_CENTRAL_1 -> GCP_US_SOUTH_1,4481,1.7568949286416613,0.4944439951115931,1
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,4463,9.246154784180217,1.7980985745991385,2
AWS_US_EAST_2_OHIO -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,4383,1.2385724453457758,0.15867980121035408,1
AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA -> AZURE_JAPAN_EAST,4284,10.654885093440248,1.8963833297108545,1
AZURE_JAPAN_EAST -> AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO,4207,10.731152491636164,1.9135350671999507,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,4096,9.259813308512332,1.8006468400933118,2
GCP_AUSTRALIA_SOUTHEAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM,3503,0.3305010505416095,0.09640688241212003,2
AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,3458,1.9424425859689398,0.3105830908403273,2
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AWS_EU_CENTRAL_1_FRANKFURT,3278,0.45283364089182543,0.06897260936339633,1
